"time_s","lin_acc_x","lin_acc_y","lin_acc_z","lin_acc_abs"
1.561431774E1,-6.730375290E-1,-3.547944427E-1,-1.959858894E0,2.102357129E0
1.563288097E1,-3.740843534E-1,-1.513935626E-1,-1.657565117E0,1.705983948E0
1.565146008E1,1.820773482E-1,1.472434998E-1,-1.092584610E0,1.117396053E0
1.567002331E1,6.415919065E-1,1.860151291E-1,-8.958110809E-1,1.117461094E0
1.568857076E1,4.792504907E-1,1.055303812E-1,-1.086322784E0,1.192021345E0
1.570713399E1,1.963829994E-1,1.057171822E-1,-1.469146729E0,1.485979312E0
1.572574316E1,1.993923187E-1,2.435538173E-1,-2.214951038E0,2.237204475E0
1.574430613E1,3.554970026E-1,4.831089377E-1,-2.415168762E0,2.488536219E0
1.576287045E1,3.876140714E-1,5.302358866E-1,-1.978560925E0,2.084729742E0
1.578138706E1,3.624261618E-1,3.149400949E-1,-1.148596764E0,1.244915464E0
1.579995029E1,3.625327349E-1,1.031099558E-1,-5.386123657E-1,6.573925215E-1
1.581855915E1,1.587855816E-1,1.138111353E-1,-5.798158646E-1,6.118433396E-1
1.583712243E1,-2.223815918E-1,2.826240063E-1,-1.324296951E0,1.372258109E0
1.585564118E1,-4.367572069E-1,5.141134262E-1,-1.954831123E0,2.067954108E0
1.587420331E1,-4.427819252E-1,6.212304831E-1,-2.134022713E0,2.266282437E0
1.589276660E1,-2.904453278E-1,4.787917137E-1,-1.734596729E0,1.822752261E0
1.591137545E1,-4.864794016E-1,4.452432394E-1,-1.086045265E0,1.270589654E0
1.592993982E1,-5.473601818E-1,4.936810732E-1,-6.045703888E-1,9.533255088E-1
1.594845633E1,-4.621998072E-1,6.556956768E-1,-3.871088028E-1,8.907405388E-1
1.596701962E1,-2.145493031E-1,8.841780424E-1,-2.865505219E-2,9.102874964E-1
1.598562868E1,-1.509579420E-1,9.186769724E-1,4.175157547E-1,1.020330870E0
1.600414607E1,-3.773183823E-1,8.244582415E-1,8.672924042E-1,1.254709794E0
1.602270936E1,-6.136353016E-1,6.934789419E-1,1.399609566E0,1.678203880E0
1.604127264E1,-9.240514040E-1,5.149930716E-1,1.757124901E0,2.050994095E0
1.605983586E1,-7.973524332E-1,1.482766867E-1,1.957520485E0,2.118877846E0
1.607844472E1,-4.185165167E-1,3.055634499E-1,2.616430283E0,2.667251867E0
1.609700805E1,-1.136052608E-2,5.698679686E-1,3.230549812E0,3.280446715E0
1.611557123E1,3.397284746E-1,6.257365942E-1,3.411089897E0,3.484608444E0
1.613408889E1,1.872625351E-1,6.265463829E-1,3.089435577E0,3.157885339E0
1.615265212E1,-2.894666195E-1,5.240417719E-1,2.794118881E0,2.857535831E0
1.617121540E1,-5.409222841E-2,-9.921288490E-2,2.977473259E0,2.979616783E0
1.618982430E1,2.722780406E-1,-6.684036851E-1,3.191848755E0,3.272429876E0
1.620834191E1,3.137347102E-1,-8.858823776E-1,2.888224602E0,3.037278124E0
1.622689222E1,-1.264250875E-1,-8.546320200E-1,1.824526787E0,2.018731579E0
1.624548425E1,-3.933799863E-1,-8.402060270E-1,4.202318192E-1,1.018473742E0
1.626404748E1,-5.219276547E-1,-6.111565828E-1,-6.045227051E-1,1.005668209E0
1.628261071E1,-6.624712348E-1,-3.400329947E-1,-1.046758652E0,1.284598867E0
1.630115816E1,-5.822954774E-1,-1.354011297E-1,-8.680152893E-1,1.053969654E0
1.631972139E1,-2.349702120E-1,8.522289991E-2,-3.090610504E-1,3.974829255E-1
1.633833024E1,6.275587082E-1,-4.876932502E-2,4.533987045E-1,7.757440071E-1
1.635689347E1,1.321537971E0,-4.254532456E-1,8.781585693E-1,1.642752430E0
1.637545790E1,1.523573279E0,-8.510407209E-1,1.162889481E0,2.097107005E0
1.639397441E1,1.268230677E0,-9.240953922E-1,1.376216888E0,2.087183333E0
1.641253769E1,6.872532368E-1,-1.044071913E0,6.165351868E-1,1.393742733E0
1.643114764E1,-1.602778137E-1,-1.021880746E0,-7.200660706E-1,1.260327093E0
1.644969686E1,-7.996550798E-1,-7.864810824E-1,-1.666075706E0,2.008434465E0
1.646822743E1,-6.423792243E-1,-5.444996357E-1,-1.799879074E0,1.987132508E0
1.648679066E1,-3.922333717E-1,-5.237500668E-1,-1.057533264E0,1.243598711E0
1.650540066E1,-2.109475136E-1,-7.352801561E-1,9.343147278E-3,7.649987293E-1
1.652396274E1,-3.557832539E-1,-9.271559119E-1,6.099834442E-1,1.165452535E0
1.654252602E1,-3.042526245E-1,-1.091275811E0,5.226764679E-1,1.247655099E0
1.656104368E1,-8.475485444E-2,-9.539961815E-1,2.952575684E-3,9.577582249E-1
1.657960691E1,4.589998722E-1,-7.235814333E-1,-4.702672958E-1,9.774468286E-1
1.659818597E1,8.110471368E-1,-5.354629755E-1,-6.279077530E-1,1.157059291E0
1.661674930E1,6.379240155E-1,-4.847211838E-1,-4.618673325E-1,9.247827358E-1
1.663531248E1,5.564292669E-1,-6.135220528E-1,-2.062320709E-2,8.285216684E-1
1.665385993E1,3.918731809E-1,-6.165823340E-1,1.453065872E-1,7.448841311E-1
1.667242321E1,1.397024095E-1,-4.593529105E-1,-1.780700684E-1,5.120847673E-1
1.669103212E1,-8.900444210E-2,-2.717357874E-1,-6.223316193E-1,6.848786558E-1
1.670959534E1,-6.719523668E-2,-1.627574563E-1,-7.346181870E-1,7.554264160E-1
1.672811295E1,6.892861426E-2,-1.068702340E-1,-7.685747147E-1,7.790247062E-1
1.674667618E1,4.435268342E-1,-6.851071119E-2,-5.776233673E-1,7.314769475E-1
1.676525904E1,7.745674849E-1,-5.341941118E-2,-3.407917023E-1,8.479076639E-1
1.678384936E1,6.080088615E-1,2.695798874E-3,-3.477392197E-1,7.004317297E-1
1.680241160E1,1.162196174E-1,-3.421008587E-2,-6.187219620E-1,6.304714075E-1
1.682092920E1,-1.870313436E-1,-9.342813492E-2,-8.642396927E-1,8.891680304E-1
